,index,Results,GAME_DATE,HOME,AWAY,Odds1,Odds2,Score,prediction
110,5982,1.0,2014-04-02,TOR,HOU,1.78,2.09,107:103,0.5834783911705017
111,5013,0.0,2013-04-17,POR,GSW,4.39,1.23,88:99,0.3533724546432495
112,2129,1.0,2010-11-23,DAL,DET,1.17,5.18,88:84,0.8142802715301514
113,5239,0.0,2013-12-19,GSW,SAS,1.34,3.4,102:104,0.38472887873649597
114,6592,0.0,2015-01-25,PHX,LAC,2.21,1.71,100:120,0.44939109683036804
115,3703,0.0,2012-03-27,GSW,LAL,3.75,1.29,101:104,0.45951807498931885
116,6193,1.0,2014-12-03,HOU,MEM,2.81,1.46,105:96,0.5456370115280151
117,8694,1.0,2017-01-19,CLE,PHX,1.12,6.92,118:103,0.805857241153717
118,5181,1.0,2013-12-11,MIN,PHI,1.1,8.11,106:99,0.8620203733444214
119,3954,1.0,2012-04-26,TOR,BKN,1.31,3.62,98:67,0.4975984990596771
120,7592,1.0,2016-01-16,ATL,BKN,1.15,5.93,114:86,0.7926488518714905
121,7845,1.0,2016-02-25,BOS,MIL,1.29,3.78,112:107,0.7503319978713989
122,9063,1.0,2017-03-21,MIA,PHX,1.12,6.9,112:97,0.8474763035774231
123,11052,0.0,2019-02-25,CHI,MIL,3.88,1.28,106:117,0.2602497339248657
124,4969,1.0,2013-04-12,LAL,GSW,1.29,3.77,118:116,0.6047958135604858
125,2240,1.0,2010-12-07,POR,PHX,1.68,2.23,106:99,0.5740697383880615
126,9289,0.0,2017-11-14,HOU,TOR,1.39,3.15,113:129,0.8316489458084106
127,5995,0.0,2014-04-04,MIA,MIN,1.25,4.21,121:122 ,0.7399743795394897
128,8255,0.0,2016-11-20,BKN,POR,2.61,1.54,109:129,0.6755625009536743
129,11341,1.0,2019-04-05,OKC,DET,1.41,3.06,123:110,0.65622878074646
130,7563,0.0,2016-01-12,MEM,HOU,2.11,1.78,91:107,0.6464760303497314
131,11624,1.0,2019-12-17,CHA,SAC,2.74,1.49,110:102,0.47235071659088135
132,7328,0.0,2015-12-11,ORL,CLE,2.34,1.65,76:111,0.6459023356437683
133,4322,1.0,2013-01-11,MEM,SAS,1.78,2.08,101:98 ,0.5723925828933716
134,12976,1.0,2021-04-21,DAL,DET,1.16,5.54,127:117,0.6679624319076538
135,5755,0.0,2014-03-04,CLE,SAS,3.67,1.3,101:122,0.588911771774292
136,3745,1.0,2012-04-01,LAL,GSW,1.13,6.13,120:112,0.7211977243423462
137,9774,1.0,2018-01-22,MEM,PHI,2.33,1.65,105:101,0.49566206336021423
138,11320,0.0,2019-04-03,DAL,MIN,1.74,2.16,108:110,0.6781682968139648
139,6758,0.0,2015-02-23,LAC,MEM,1.62,2.39,87:90,0.6733185648918152
140,8942,0.0,2017-03-05,SAC,UTA,5.19,1.18,109:110 ,0.3809731900691986
141,7112,0.0,2015-04-10,ORL,TOR,2.84,1.45,99:101,0.4541977643966675
142,11733,1.0,2020-01-02,DAL,BKN,1.27,4.0,123:111,0.7807815670967102
143,9259,1.0,2017-11-10,DET,ATL,1.3,3.73,111:104,0.8268184661865234
144,11669,1.0,2019-12-23,GSW,MIN,1.9,1.91,113:104,0.4897986352443695
145,3865,1.0,2012-04-15,NOP,MEM,2.68,1.5,88:75,0.5603862404823303
146,11553,1.0,2019-12-07,DAL,NOP,1.22,4.55,130:84,0.8837184906005859
147,5261,0.0,2013-12-21,SAS,OKC,1.66,2.31,100:113,0.42128339409828186
148,3704,1.0,2012-03-27,MEM,MIN,1.52,2.63,93:86,0.6721793413162231
149,3391,1.0,2012-02-14,MEM,HOU,1.66,2.27,93:83,0.5560160279273987
150,1034,1.0,2009-10-27,POR,HOU,1.18,4.93,96:87,0.8584487438201904
151,9762,1.0,2018-01-20,POR,DAL,1.47,2.81,117:108,0.553290605545044
152,479,1.0,2009-01-28,NOP,DEN,1.6,2.46,94:81,0.6052426099777222
153,11153,1.0,2019-03-10,SAS,MIL,2.11,1.77,121:114,0.4350587725639343
154,3356,1.0,2012-02-10,DET,BKN,1.7,2.21,109:92,0.5243517756462097
155,13897,0.0,2022-02-16,ORL,ATL,2.81,1.46,109:130,0.39750444889068604
156,3318,1.0,2012-02-04,SAS,OKC,1.68,2.24,107:96,0.4978022277355194
157,8566,1.0,2017-01-01,ATL,SAS,2.83,1.46,114:112 ,0.31904688477516174
158,2103,1.0,2010-10-28,ORL,WAS,1.05,10.88,112:83,0.8712277412414551
159,13675,0.0,2022-01-17,ORL,POR,2.11,1.77,88:98,0.4606151282787323
160,12328,1.0,2021-01-22,IND,ORL,1.51,2.67,120:118 ,0.6559163331985474
161,12932,0.0,2021-04-15,ATL,MIL,2.53,1.56,109:120,0.47806602716445923
162,2919,1.0,2011-03-16,HOU,CHA,1.31,3.57,94:78,0.8416279554367065
163,3129,0.0,2011-04-13,PHI,DET,1.5,2.65,100:104,0.7091900706291199
164,7619,0.0,2016-01-20,BKN,CLE,9.15,1.08,78:91,0.26989150047302246
165,7659,1.0,2016-01-25,GSW,SAS,1.51,2.69,120:90,0.5432745814323425
166,8095,0.0,2016-03-28,TOR,OKC,2.3,1.66,100:119,0.5977578163146973
167,6957,1.0,2015-03-20,SAS,BOS,1.22,4.52,101:89,0.7330584526062012
168,6516,0.0,2015-01-16,IND,DET,1.88,1.96,96:98,0.5048376321792603
