,index,Results,GAME_DATE,HOME,AWAY,Odds1,Odds2,Score,prediction
130,7563,0.0,2016-01-12,MEM,HOU,2.11,1.78,91:107,0.6575464606285095
131,11624,1.0,2019-12-17,CHA,SAC,2.74,1.49,110:102,0.47578227519989014
132,7328,0.0,2015-12-11,ORL,CLE,2.34,1.65,76:111,0.5897696614265442
133,4322,1.0,2013-01-11,MEM,SAS,1.78,2.08,101:98 ,0.563896894454956
134,12976,1.0,2021-04-21,DAL,DET,1.16,5.54,127:117,0.6851423382759094
135,5755,0.0,2014-03-04,CLE,SAS,3.67,1.3,101:122,0.6086874604225159
136,3745,1.0,2012-04-01,LAL,GSW,1.13,6.13,120:112,0.7276736497879028
137,9774,1.0,2018-01-22,MEM,PHI,2.33,1.65,105:101,0.5731067061424255
138,11320,0.0,2019-04-03,DAL,MIN,1.74,2.16,108:110,0.6715354919433594
139,6758,0.0,2015-02-23,LAC,MEM,1.62,2.39,87:90,0.5827330350875854
140,8942,0.0,2017-03-05,SAC,UTA,5.19,1.18,109:110 ,0.31462061405181885
141,7112,0.0,2015-04-10,ORL,TOR,2.84,1.45,99:101,0.3911231756210327
142,11733,1.0,2020-01-02,DAL,BKN,1.27,4.0,123:111,0.8103947639465332
143,9259,1.0,2017-11-10,DET,ATL,1.3,3.73,111:104,0.8592243194580078
144,11669,1.0,2019-12-23,GSW,MIN,1.9,1.91,113:104,0.4383465349674225
145,3865,1.0,2012-04-15,NOP,MEM,2.68,1.5,88:75,0.4671120047569275
146,11553,1.0,2019-12-07,DAL,NOP,1.22,4.55,130:84,0.8803548812866211
147,5261,0.0,2013-12-21,SAS,OKC,1.66,2.31,100:113,0.28623467683792114
148,3704,1.0,2012-03-27,MEM,MIN,1.52,2.63,93:86,0.6840593218803406
149,3391,1.0,2012-02-14,MEM,HOU,1.66,2.27,93:83,0.5754894018173218
150,1034,1.0,2009-10-27,POR,HOU,1.18,4.93,96:87,0.8712601065635681
151,9762,1.0,2018-01-20,POR,DAL,1.47,2.81,117:108,0.5081642866134644
152,479,1.0,2009-01-28,NOP,DEN,1.6,2.46,94:81,0.6393826007843018
153,11153,1.0,2019-03-10,SAS,MIL,2.11,1.77,121:114,0.4392393231391907
154,3356,1.0,2012-02-10,DET,BKN,1.7,2.21,109:92,0.5155848860740662
155,13897,0.0,2022-02-16,ORL,ATL,2.81,1.46,109:130,0.2982068657875061
156,3318,1.0,2012-02-04,SAS,OKC,1.68,2.24,107:96,0.5050734877586365
157,8566,1.0,2017-01-01,ATL,SAS,2.83,1.46,114:112 ,0.19490349292755127
158,2103,1.0,2010-10-28,ORL,WAS,1.05,10.88,112:83,0.8722378015518188
159,13675,0.0,2022-01-17,ORL,POR,2.11,1.77,88:98,0.43433260917663574
160,12328,1.0,2021-01-22,IND,ORL,1.51,2.67,120:118 ,0.5369705557823181
161,12932,0.0,2021-04-15,ATL,MIL,2.53,1.56,109:120,0.47808557748794556
162,2919,1.0,2011-03-16,HOU,CHA,1.31,3.57,94:78,0.8083066344261169
163,3129,0.0,2011-04-13,PHI,DET,1.5,2.65,100:104,0.6646333932876587
164,7619,0.0,2016-01-20,BKN,CLE,9.15,1.08,78:91,0.20069235563278198
165,7659,1.0,2016-01-25,GSW,SAS,1.51,2.69,120:90,0.3490959107875824
166,8095,0.0,2016-03-28,TOR,OKC,2.3,1.66,100:119,0.5885712504386902
167,6957,1.0,2015-03-20,SAS,BOS,1.22,4.52,101:89,0.6972519159317017
168,6516,0.0,2015-01-16,IND,DET,1.88,1.96,96:98,0.5283554196357727
169,13765,1.0,2022-01-30,CHI,POR,1.51,2.69,130:116,0.49057427048683167
170,10829,1.0,2019-01-18,POR,NOP,1.66,2.3,128:112,0.6042594313621521
171,5588,0.0,2014-02-05,NYK,POR,2.24,1.69,90:94,0.696220874786377
172,11816,1.0,2020-01-14,ATL,PHX,2.14,1.75,123:110,0.3527379035949707
173,995,0.0,2009-04-11,MIN,PHX,2.09,1.77,97:110,0.48061466217041016
174,3494,1.0,2012-03-02,ATL,MIL,1.53,2.58,99:94,0.5012331008911133
175,1132,0.0,2009-12-03,GSW,HOU,2.17,1.71,109:111,0.4099050760269165
176,8746,0.0,2017-01-25,NOP,OKC,2.03,1.83,105:114,0.6622995138168335
177,7459,0.0,2015-12-29,DEN,CLE,3.27,1.37,87:93,0.3831630051136017
178,5228,0.0,2013-12-18,BKN,WAS,1.51,2.68,107:113,0.4381529688835144
179,10707,1.0,2019-01-02,BKN,NOP,2.05,1.82,126:121,0.5443741679191589
180,213,1.0,2008-12-19,HOU,SAC,1.07,8.5,107:96,0.8138958215713501
181,5319,0.0,2013-12-31,CHI,TOR,1.86,1.98,79:85,0.432790607213974
182,11607,1.0,2019-12-14,MEM,WAS,1.84,2.02,128:111,0.5407951474189758
183,743,0.0,2009-03-08,TOR,UTA,2.67,1.49,101:109,0.33239245414733887
184,8831,0.0,2017-02-13,CHA,PHI,1.29,3.81,99:105,0.7179477214813232
185,4489,1.0,2013-02-02,POR,UTA,1.56,2.53,105:99,0.6378574371337891
186,9158,0.0,2017-04-02,NYK,BOS,3.78,1.3,94:110,0.44629257917404175
187,9264,0.0,2017-11-11,DAL,CLE,3.03,1.41,104:111,0.41438373923301697
188,5674,1.0,2014-02-21,DET,ATL,1.56,2.52,115:107,0.661400556564331
189,5186,1.0,2013-12-12,POR,HOU,1.72,2.18,111:104,0.48945775628089905
190,1284,0.0,2009-12-23,SAS,POR,1.1,7.79,94:98,0.6838607788085938
191,2752,0.0,2011-02-22,GSW,BOS,2.61,1.52,93:115,0.5127928853034973
192,2913,1.0,2011-03-15,IND,NYK,2.72,1.48,119:117,0.5193262696266174
193,5990,1.0,2014-04-04,CHI,MIL,1.11,7.23,102:90,0.7814006209373474
194,1369,1.0,2010-01-06,CLE,WAS,1.05,11.2,121:98,0.8763333559036255
195,2213,1.0,2010-12-04,CHI,HOU,1.32,3.53,119:116 ,0.6238096356391907
196,4072,0.0,2012-12-08,CLE,DET,2.0,1.84,97:104,0.4386151432991028
197,6059,0.0,2014-04-13,LAL,MEM,7.37,1.11,90:102,0.3362370431423187
198,8679,1.0,2017-01-16,WAS,POR,1.6,2.45,120:101,0.6381867527961731
199,11789,1.0,2020-01-10,MEM,SAS,1.93,1.92,134:121,0.3707471191883087
200,5469,0.0,2014-01-20,GSW,IND,1.84,1.99,94:102,0.42435815930366516
201,4745,1.0,2013-03-13,DEN,NYK,1.21,4.63,117:94,0.6059527397155762
202,10725,1.0,2019-01-04,MIL,ATL,1.09,8.4,144:112,0.8089994192123413
203,3753,0.0,2012-04-02,OKC,MEM,1.28,3.86,88:94,0.756233811378479
204,6239,1.0,2014-12-09,NOP,NYK,1.38,3.22,104:93,0.7385887503623962
205,13671,1.0,2022-01-17,LAL,UTA,2.8,1.48,101:95,0.38445842266082764
206,4294,0.0,2013-01-07,SAC,MEM,2.47,1.59,81:113,0.41114458441734314
207,13891,1.0,2022-02-16,IND,WAS,1.89,1.96,113:108,0.4249494671821594
208,12049,1.0,2020-02-21,TOR,PHX,1.28,3.84,118:101,0.7339298725128174
209,1827,1.0,2010-03-12,DET,WAS,1.36,3.24,101:87,0.6248211860656738
